Time,Open,High,Low,Last,Change,Volume,Open Int
6/19/2020 9:50,10079.25,10081.75,10065.5,10081.5,2.5,5705,N/A
6/19/2020 9:45,10082.5,10085,10067.5,10079,-3.25,4800,N/A
6/19/2020 9:40,10092,10092.75,10076.25,10082.25,-10.25,3761,N/A
6/19/2020 9:35,10087.5,10095.25,10085.75,10092.5,5,2836,N/A
6/19/2020 9:30,10100.25,10101.75,10083,10087.5,-12.5,5279,N/A
6/19/2020 9:25,10100.5,10104.5,10091.25,10100,-0.25,3091,N/A
6/19/2020 9:20,10102.5,10105.25,10097.25,10100.25,-2.25,2579,N/A
6/19/2020 9:15,10104.75,10108.25,10100,10102.5,-2.25,3300,N/A
6/19/2020 9:10,10100.25,10105.75,10093.25,10104.75,4.5,3997,N/A
6/19/2020 9:05,10089.25,10102.75,10087.25,10100.25,11.25,3618,N/A
6/19/2020 9:00,10087.25,10092,10078.75,10089,2,5014,N/A
6/19/2020 8:55,10107.25,10108,10080.5,10087,-20.25,5472,N/A
6/19/2020 8:50,10104.25,10109.25,10102.25,10107.25,3.25,4815,N/A
6/19/2020 8:45,10093.75,10104.5,10084.75,10104,10.25,5463,N/A
6/19/2020 8:40,10094.75,10101.75,10087.75,10093.75,-1,6463,N/A
6/19/2020 8:35,10092.75,10095.75,10075.25,10094.75,1.5,7288,N/A
6/19/2020 8:30,10098.25,10100,10076.25,10093.25,-5.5,14142,N/A
6/19/2020 8:25,10095.75,10112.5,10090.75,10098.75,3,7998,N/A
6/19/2020 8:20,10091,10097.75,10089.25,10095.75,4.75,2028,N/A
6/19/2020 8:15,10079.25,10092.25,10078.75,10091,12.5,1878,N/A
6/19/2020 8:10,10081.25,10084.5,10077.75,10078.5,-2.5,1495,N/A
6/19/2020 8:05,10083.25,10084.5,10077.25,10081,-2,2023,N/A
6/19/2020 8:00,10091.5,10091.5,10077.5,10083,-8.75,2266,N/A
6/19/2020 7:55,10087.5,10093.25,10081.75,10091.75,4,2391,N/A
6/19/2020 7:50,10088.25,10089.5,10085.5,10087.75,-0.25,1775,N/A
6/19/2020 7:45,10092.75,10093.5,10087.25,10088,-4.75,1477,N/A
6/19/2020 7:40,10089,10095.25,10088.5,10092.75,3.75,1137,N/A
6/19/2020 7:35,10086.25,10096.5,10086,10089,2.75,1978,N/A
6/19/2020 7:30,10079.5,10086.75,10077.5,10086.25,7.25,1284,N/A
6/19/2020 7:25,10080.25,10082.5,10074.5,10079,-1,1404,N/A
6/19/2020 7:20,10080.75,10082,10076.5,10080,-0.5,1364,N/A
6/19/2020 7:15,10087.25,10090.5,10080.25,10080.5,-6,1786,N/A
6/19/2020 7:10,10085.75,10090.75,10081.5,10086.5,1,1836,N/A
6/19/2020 7:05,10082.75,10089.5,10080.25,10085.5,3.25,1389,N/A
6/19/2020 7:00,10078.25,10086.75,10077.75,10082.25,3.75,1705,N/A
6/19/2020 6:55,10069,10079,10067.5,10078.5,9,895,N/A
6/19/2020 6:50,10066.5,10073.75,10066.25,10069.5,2.75,653,N/A
6/19/2020 6:45,10068.5,10069.5,10066.5,10066.75,-1.75,271,N/A
6/19/2020 6:40,10069.75,10070.5,10066,10068.5,-1.25,374,N/A
6/19/2020 6:35,10068.25,10072.25,10067.25,10069.75,2,701,N/A
6/19/2020 6:30,10064.25,10068.75,10063.5,10067.75,4,268,N/A
6/19/2020 6:25,10060.5,10067.25,10059.5,10063.75,3.75,335,N/A
6/19/2020 6:20,10063.5,10063.5,10057.5,10060,-3.75,240,N/A
6/19/2020 6:15,10063.25,10063.75,10058.75,10063.75,0.75,343,N/A
6/19/2020 6:10,10065.5,10066,10061.5,10063,-2.25,484,N/A
6/19/2020 6:05,10066.75,10067.75,10064.25,10065.25,-1.5,423,N/A
6/19/2020 6:00,10067,10069,10058.25,10066.75,-0.75,771,N/A
6/19/2020 5:55,10056.5,10067.5,10056.25,10067.5,10.25,443,N/A
6/19/2020 5:50,10060,10065,10053.5,10057.25,-3.25,573,N/A
6/19/2020 5:45,10061.25,10062,10058,10060.5,-0.25,341,N/A
6/19/2020 5:40,10059,10062.5,10058.75,10060.75,1.75,172,N/A
6/19/2020 5:35,10061,10066.25,10058,10059,-2.5,363,N/A
6/19/2020 5:30,10062,10065,10058.75,10061.5,0,331,N/A
6/19/2020 5:25,10062,10065,10060.25,10061.5,0,392,N/A
6/19/2020 5:20,10068.5,10072,10061,10061.5,-6.25,490,N/A
6/19/2020 5:15,10068,10069.75,10064.5,10067.75,-0.25,552,N/A
